Epochs,Samples Seen,Training Loss,Validation Loss
4,4600,1.7891919742524625,2.8930256577332814
4,4800,1.795416307207197,2.8967101946671803
4,5000,1.7979008819162845,2.893528744141261
4,5200,1.798852944815388,2.9296101638476055
4,5400,1.8027522055915108,2.9078132588863372
4,5600,1.806973543140505,2.907364922364553
4,5800,1.8145196673942023,2.9094739969571433
4,6000,1.817341390868028,2.907397088289261
4,6200,1.8193910217285156,2.9019058023293813
4,6400,1.8228595482604577,2.8941607417265574
4,6600,1.8267005882073533,2.9106444707711536
4,6800,1.8299380300456987,2.9148586185773215
4,7000,1.8359934210734707,2.905164919535319
4,7200,1.839887249684996,2.909918000857035
4,7400,1.8411950900345235,2.9008803911209107
4,7600,1.8417309151825152,2.915275817632675
4,7800,1.8451830520308934,2.9125958122412365
4,8000,1.8492333175688982,2.917632500251134
4,8200,1.8544589215444356,2.9068723074595133
4,8400,1.857644246681815,2.9275907199382782
4,8600,1.8595386131350384,2.906959890127182
4,8800,1.862954855737361,2.9147921305497486
4,9000,1.8660888086822298,2.9359225078423816
4,9200,1.8692240589209226,2.9245275456905366
4,9400,1.8715579273091987,2.925542449951172
4,9600,1.8752807196353873,2.926118702252706
4,9800,1.8778095662897947,2.9251963601112365
4,10000,1.8807230859398842,2.917214238246282
4,10200,1.8831514139911707,2.932048269033432
4,10400,1.887552184668871,2.917648146867752
4,10600,1.892082751247118,2.919549117485682
4,10800,1.8948529105440335,2.9210870230992634
4,11000,1.8984022265781055,2.909989956219991
4,11200,1.9007630751574678,2.91010412422816
4,11400,1.9036436292006258,2.9113297729492187
4,11600,1.905462885722518,2.9164381297429403
4,11800,1.9086767635001975,2.9128847064971923
4,12000,1.9118107565045357,2.918482781807582
4,12200,1.9138916588440293,2.9271955467859905
4,12400,1.9181738088880815,2.925500996271769
4,12600,1.9210897179870379,2.9220557123025257
5,200,1.5398449896275996,2.9125978219509125
5,400,1.5486286036670207,2.9500402301947277
5,600,1.5570109138389427,2.9359585264523824
5,800,1.5697628451883794,2.937809405644735
5,1000,1.5764288523197174,2.9540975313186646
5,1200,1.5798509195446968,2.974131726026535
5,1400,1.5778208712381976,2.982205767472585
5,1600,1.5788081544451416,2.981699604431788
5,1800,1.583145072625743,2.9635872174104056
5,2000,1.5854064984172582,2.976051605780919
5,2200,1.5986221759563142,2.977222588777542
5,2400,1.600798678137362,2.9783439968427023
5,2600,1.607217058229905,2.9884554539521537
5,2800,1.6158988963919028,2.9715282292366028
5,3000,1.6190452674726645,3.0112179115613302
5,3200,1.623973678937182,2.98812911828359
5,3400,1.6295565681071842,2.992892234802246
5,3600,1.6377533893287182,2.985459174235662
5,3800,1.6428329992686448,2.9755109984874726
5,4000,1.6529561901465057,2.9843362882137296
5,4200,1.6574608342633361,2.9820658198197685
5,4400,1.663547267744487,2.9920815959771474
5,4600,1.6687770073051038,2.9939777034918467
5,4800,1.6732741953184207,2.975888283411662
5,5000,1.681917629480362,2.9761894737879437
5,5200,1.6831211798351544,2.9853050764401754
5,5400,1.686916248638321,2.9836868126392364
5,5600,1.6889574652111956,3.004382780234019
5,5800,1.6913072519466794,3.006595558722814
5,6000,1.6949014006356398,2.992511234998703
5,6200,1.6959681090279932,2.9976013185183206
5,6400,1.701984133576043,3.002016323963801
5,6600,1.7052678634045702,2.994725550889969
5,6800,1.7083544999448692,3.0015381611188254
5,7000,1.713697082408837,2.991257166862488
5,7200,1.7155058947412505,2.9991430790424345
5,7400,1.720178914666176,3.0055599189599356
5,7600,1.7208809392271858,3.009478355328242
5,7800,1.7261627614421722,3.0075293005307517
5,8000,1.72842287183553,2.9977350126107534
5,8200,1.7321289541917604,3.0066161438624066
5,8400,1.7360987239366485,3.0020984110832214
5,8600,1.7383673104921054,2.9975145131746928
5,8800,1.741736777926033,3.0045931482315065
5,9000,1.7455560213294294,3.005338358561198
5,9200,1.748729516160877,2.999534357627233
5,9400,1.751634430520712,3.0148578840891522
5,9600,1.7537429385632277,3.0086345899899802
5,9800,1.7575194538551935,3.0115324279467264
5,10000,1.7591142591029405,3.0165344093640645
5,10200,1.761838232360634,3.000299503882726
5,10400,1.7647180282954986,3.0017305448849996
5,10600,1.7674379625438519,2.996934572060903
5,10800,1.770088519015246,3.0030430155595145
5,11000,1.774342551865361,3.001954263051351
5,11200,1.7775496462253588,3.0164852829774222
5,11400,1.7808307203624332,3.024299175341924
5,11600,1.78230934356821,3.009227196216583
5,11800,1.784895635065386,3.0190124386151633
